0,0,0,2,2,0,0,2,0,8
0,0,0,2,2,2,0,2,2,6
0,2,0,2,2,2,2,2,2,2
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
2,0,2,0,2,0,2,0,2,1
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,0,0,2,0,0,2,2,6
2,2,0,0,2,0,2,2,2,2
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,2,0,0,2,2
0,0,2,2,2,2,0,0,2,6
0,0,0,0,0,0,2,0,0,4
0,2,0,0,2,0,2,0,0,8
2,2,0,0,2,0,2,0,2,2
2,2,2,2,2,0,2,0,2,5
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,0,2,0,8
2,0,0,2,2,0,0,2,2,6
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,0,2,6
0,0,2,0,2,0,2,0,2,5
2,0,2,0,2,2,2,0,2,1
2,2,2,0,2,2,2,2,2,3
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,2,0,0,2,3
0,0,0,2,2,2,2,0,2,2
0,0,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,2,0,8
0,0,0,0,2,2,0,2,2,6
0,0,0,2,2,2,2,2,2,2
0,0,2,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,2,0,0,0,8
0,0,0,0,2,0,0,0,0,8
0,2,0,0,2,0,0,0,2,7
0,2,2,0,2,0,0,2,2,0
2,2,2,0,2,2,0,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
2,0,0,2,2,0,0,0,2,6
2,0,2,2,2,0,2,0,2,1
2,2,2,2,2,0,2,2,2,5
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,0,2,0,2,2
0,0,2,0,2,0,2,2,2,1
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
0,0,0,2,2,0,2,0,2,0
0,0,0,0,0,0,0,0,2,4
2,0,0,0,2,0,0,0,2,7
2,0,0,0,2,0,2,2,2,3
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,0,2,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,2,2,2,0,1
0,0,0,0,0,0,0,2,0,4
0,0,0,0,2,0,0,2,2,6
0,0,0,2,2,0,2,2,2,2
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
0,0,2,0,2,0,2,2,2,1
0,2,2,2,2,0,2,2,2,5
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,0,2,6
0,2,0,0,2,0,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,2,5
0,0,2,0,2,2,2,0,2,3
2,0,0,0,0,0,0,0,0,4
2,2,0,0,2,0,0,0,0,2
2,2,2,0,2,2,0,0,0,8
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,2,0,0,0,4
0,0,2,0,2,2,0,0,0,8
0,0,2,0,2,2,0,2,2,6
0,2,2,0,2,2,2,2,2,0
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,2,0,0,2,2,0,0,2,2
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,0,0,2,0,4
2,0,0,0,2,0,0,2,0,8
2,0,0,0,2,2,0,2,2,6
2,2,0,0,2,2,2,2,2,2
0,0,0,0,0,0,0,0,2,4
0,2,0,0,2,0,0,0,2,6
2,2,0,0,2,0,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,2,2,2,0,1
0,0,0,0,0,2,0,0,0,4
0,0,0,0,2,2,0,2,0,8
0,0,0,0,2,2,2,2,2,2
0,2,2,0,2,2,2,2,2,0
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
0,0,2,0,2,2,2,0,2,0
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,2,0,0,0,8
0,0,0,0,0,0,0,0,2,4
2,0,0,0,2,0,0,0,2,7
2,0,0,2,2,0,0,2,2,6
2,2,0,2,2,0,2,2,2,2
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,0,2,2,6
0,0,0,2,2,0,2,2,2,2
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,2,0,0,8
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,2,0,0,0,8
0,0,0,0,0,0,0,0,2,4
0,0,2,0,2,0,0,0,2,5
2,0,2,0,2,2,0,0,2,1
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,2,0,2,0,0,0,2,1
2,2,2,0,2,0,2,0,2,3
2,2,2,2,2,2,2,0,2,7
0,0,0,0,0,0,0,2,0,4
2,0,0,0,2,0,0,2,0,8
2,0,0,2,2,0,0,2,2,6
2,0,0,2,2,2,2,2,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
2,0,2,0,2,2,0,0,2,1
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,2,0,0,2,0,2,0,2,2
2,2,2,0,2,0,2,0,2,3
2,2,2,2,2,2,2,0,2,7
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,0,0,2,2,1
0,2,2,0,2,0,0,2,2,6
0,2,2,0,2,2,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
0,0,2,2,2,0,0,0,2,6
0,0,2,2,2,2,2,0,2,7
0,0,0,0,0,2,0,0,0,4
0,2,0,0,2,2,0,0,0,8
0,2,0,2,2,2,0,0,2,6
0,2,2,2,2,2,2,0,2,0
0,0,0,0,0,2,0,0,0,4
0,2,0,0,2,2,0,0,0,8
0,2,0,0,2,2,2,0,2,2
2,2,2,0,2,2,2,0,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
0,0,2,2,2,0,0,0,2,6
0,0,2,2,2,2,2,0,2,7
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,2,0,0,0
2,0,2,2,2,0,2,0,0,8
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,2,0,0,2,2
0,2,2,0,2,2,0,0,2,6
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,2,0,8
0,0,2,0,2,2,0,2,2,6
0,2,2,0,2,2,2,2,2,0
0,0,0,0,0,0,2,0,0,4
0,0,2,0,2,0,2,0,0,7
0,2,2,0,2,0,2,2,0,0
2,2,2,2,2,0,2,2,0,8
0,0,0,0,0,0,0,0,2,4
0,0,0,2,2,0,0,0,2,6
2,0,0,2,2,0,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,2,0,8
0,2,2,0,2,0,0,2,2,0
0,0,0,0,0,0,0,2,0,4
0,2,0,0,2,0,0,2,0,8
0,2,0,0,2,0,2,2,2,2
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
2,0,2,0,2,0,0,0,2,1
2,2,2,0,2,0,0,2,2,6
2,2,2,2,2,0,2,2,2,5
0,0,0,0,0,0,2,0,0,4
2,0,0,0,2,0,2,0,0,3
2,0,0,2,2,0,2,2,0,5
2,0,0,0,0,0,0,0,0,4
2,0,0,2,2,0,0,0,0,6
2,0,2,2,2,0,2,0,0,1
2,2,2,2,2,2,2,0,0,7
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
2,0,2,0,2,2,0,0,2,1
2,2,2,0,2,2,0,2,2,6
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,0,0,2,2,0,0,2,6
2,2,0,0,2,2,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,0,2,0,8
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
0,0,2,0,2,2,2,0,2,0
0,0,0,0,0,0,2,0,0,4
0,0,0,0,2,2,2,0,0,8
0,0,2,0,2,2,2,0,2,0
0,0,0,0,0,0,0,2,0,4
0,0,0,0,2,2,0,2,0,8
0,0,0,0,2,2,2,2,2,2
0,0,2,2,2,2,2,2,2,0
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,0,0,2,2,1
0,2,0,0,2,0,2,2,2,2
0,2,2,0,2,2,2,2,2,0
2,0,0,0,0,0,0,0,0,4
2,0,2,0,2,0,0,0,0,1
2,2,2,0,2,0,0,0,2,7
0,0,0,0,0,2,0,0,0,4
0,0,0,2,2,2,0,0,0,8
0,2,0,2,2,2,0,0,2,6
0,2,2,2,2,2,2,0,2,0
0,0,0,0,0,0,0,2,0,4
0,0,0,0,2,0,0,2,2,6
0,0,0,0,2,2,2,2,2,2
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,2,0,0,2,3
0,0,0,2,2,2,0,2,2,1
2,2,0,2,2,2,0,2,2,6
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,0,0,2,2,0,0,2,6
2,0,0,2,2,2,2,0,2,7
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
2,0,2,0,2,0,2,2,0,1
2,0,0,0,0,0,0,0,0,4
2,0,2,0,2,0,0,0,0,1
2,2,2,0,2,0,2,0,0,3
2,2,2,2,2,0,2,2,0,5
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,0,2,0,2,2
0,2,2,0,2,0,2,0,2,7
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
0,2,0,2,2,0,0,0,2,6
0,2,2,2,2,0,2,0,2,0
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
0,0,2,2,2,0,2,0,2,5
2,0,2,2,2,2,2,0,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,0,0,0,2,2,2,0,2,2
0,0,2,0,2,2,2,2,2,0
0,0,0,0,0,2,0,0,0,4
0,0,2,0,2,2,0,0,0,8
2,0,2,0,2,2,0,0,2,1
2,2,2,0,2,2,2,0,2,3
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
0,2,0,0,2,0,2,0,2,2
0,2,2,2,2,0,2,0,2,0
0,0,0,0,0,2,0,0,0,4
0,0,0,0,2,2,0,2,0,8
0,0,2,0,2,2,0,2,2,6
2,0,2,0,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
2,2,0,0,2,0,0,0,2,2
2,2,2,0,2,0,0,2,2,5
0,0,0,2,0,0,0,0,0,4
0,0,2,2,2,0,0,0,0,8
0,0,2,2,2,0,0,2,2,6
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,0,0,0,2,2,2,0,2,2
0,2,2,0,2,2,2,0,2,0
0,2,0,0,0,0,0,0,0,4
2,2,0,0,2,0,0,0,0,2
2,2,2,0,2,0,2,0,0,3
2,2,2,2,2,0,2,0,2,5
0,0,0,0,0,2,0,0,0,4
0,0,0,2,2,2,0,0,0,8
0,0,0,2,2,2,0,2,2,6
2,0,0,2,2,2,2,2,2,2
0,0,0,0,2,0,0,0,0,8
2,0,0,0,2,0,0,0,2,6
2,0,0,0,2,0,2,2,2,1
2,2,0,2,2,0,2,2,2,5
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,2,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,2,2,2,0,1
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
2,0,2,0,2,0,2,0,2,1
2,2,2,2,2,0,2,0,2,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,0,0,2,0,2,0,2,3
2,2,0,2,2,0,2,0,2,2
2,2,2,2,2,0,2,2,2,5
0,2,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,2,0,8
0,2,0,0,2,0,2,2,2,2
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
0,2,2,0,2,0,0,0,2,0
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,0,0,2,5
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,0,2,6
0,0,0,0,2,0,2,2,2,2
0,0,0,0,0,0,0,0,2,4
2,0,0,0,2,0,0,0,2,7
2,0,0,0,2,2,0,2,2,1
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,2,0,0,2,2
0,0,2,0,2,2,2,0,2,7
0,0,2,2,2,2,2,2,2,0
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,0,2,6
2,0,0,0,2,0,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,2,2,0,0,0,0,8
0,2,2,2,2,0,0,0,2,0
0,0,0,2,0,0,0,0,0,4
2,0,0,2,2,0,0,0,0,6
2,0,2,2,2,0,2,0,0,1
2,2,2,2,2,0,2,0,2,7
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,0,2,2,6
0,0,0,0,2,2,2,2,2,2
0,0,0,0,0,2,0,0,0,4
0,0,0,0,2,2,2,0,0,8
2,0,0,0,2,2,2,0,2,3
2,2,0,2,2,2,2,0,2,2
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
0,2,0,0,2,2,0,0,2,6
0,2,2,0,2,2,2,0,2,0
0,0,0,0,2,0,0,0,0,8
0,0,0,2,2,0,0,0,2,5
0,0,0,2,2,2,2,0,2,0
2,2,0,2,2,2,2,0,2,7
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
0,2,2,0,2,0,0,0,2,0
0,0,0,0,2,0,0,0,0,8
0,0,0,2,2,0,0,0,2,5
0,0,0,2,2,2,0,2,2,1
0,2,2,2,2,2,0,2,2,6
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
0,0,2,2,2,0,0,0,2,6
0,0,2,2,2,2,2,0,2,7
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,2,2,2,0,1
0,0,0,0,0,0,0,0,2,4
0,0,0,2,2,0,0,0,2,6
2,0,0,2,2,0,2,0,2,2
0,0,0,0,0,2,0,0,0,4
0,0,0,2,2,2,0,0,0,8
0,0,0,2,2,2,0,2,2,6
0,2,0,2,2,2,2,2,2,2
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,2,0,0,0,8
2,0,0,2,2,2,0,0,2,6
2,0,0,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,2,0,8
2,0,2,0,2,0,0,2,2,1
2,2,2,0,2,2,0,2,2,6
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
0,2,0,0,2,0,0,2,2,6
0,2,0,0,2,2,2,2,2,2
0,0,0,0,0,2,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,0,0,2,2,2,0,2,3
2,0,0,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
0,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,2,0,0,4
0,0,0,0,2,0,2,2,0,8
0,2,0,0,2,0,2,2,2,2
0,2,2,0,2,2,2,2,2,0
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,2,0,8
0,0,2,0,2,2,0,2,2,6
2,0,2,0,2,2,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
0,0,0,2,2,2,0,0,2,6
0,0,2,2,2,2,2,0,2,7
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,2,2,0,2,2,0,0
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,2,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,2,0,2,2,0,0,2,1
2,2,2,2,2,2,0,0,2,6
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
0,2,2,0,2,0,0,0,2,0
0,0,0,0,0,0,2,0,0,4
0,0,0,0,2,0,2,2,0,8
2,0,0,0,2,0,2,2,2,3
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,2,0,0,2,0,2,0,2,2
0,2,2,0,2,0,2,2,2,5
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,2,0,0,2,2
0,0,2,0,2,2,0,2,2,6
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,0,2,2,6
0,0,0,0,2,2,2,2,2,2
0,0,0,0,2,0,0,0,0,8
2,0,0,0,2,0,0,0,2,6
2,2,0,0,2,0,2,0,2,2
2,2,2,2,2,0,2,0,2,5
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
0,0,2,2,2,0,2,0,2,5
0,2,2,2,2,2,2,0,2,0
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
0,0,2,0,2,2,0,0,2,6
0,2,2,0,2,2,2,0,2,0
0,0,0,2,0,0,0,0,0,4
2,0,0,2,2,0,0,0,0,6
2,0,0,2,2,2,2,0,0,8
2,0,2,2,2,2,2,0,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
2,0,0,0,2,2,0,0,2,6
2,0,2,0,2,2,2,0,2,1
2,2,2,0,2,2,2,2,2,3
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,0,2,2,2,0,0,2,6
2,2,0,2,2,2,2,0,2,2
0,0,0,0,0,0,0,0,2,4
0,0,0,2,2,0,0,0,2,6
0,0,0,2,2,0,2,2,2,2
0,0,0,0,0,0,0,2,0,4
0,0,0,2,2,0,0,2,0,8
2,0,0,2,2,0,0,2,2,6
2,0,0,2,2,2,2,2,2,2
0,0,2,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,2,0,0,8
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,2,0,2,7
0,0,2,0,2,0,2,2,2,1
0,0,0,0,2,0,0,0,0,8
0,0,0,2,2,0,0,0,2,5
0,0,0,2,2,2,2,0,2,0
2,2,0,2,2,2,2,0,2,7
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,2,0,0,8
0,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,2,0,0,4
0,0,2,0,2,0,2,0,0,7
0,2,2,0,2,0,2,2,0,0
2,2,2,0,2,0,2,2,2,5
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,2,0,0,2,0,0,0,2,2
2,2,2,0,2,0,0,2,2,5
0,0,0,0,0,0,0,2,0,4
0,2,0,0,2,0,0,2,0,8
0,2,0,2,2,0,0,2,2,6
0,2,2,2,2,0,2,2,2,0
0,0,0,0,0,0,0,0,2,4
0,0,0,2,2,0,0,0,2,6
0,0,0,2,2,0,2,2,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,2,2,0,0,0,0,8
2,0,2,2,2,0,0,0,2,1
2,2,2,2,2,0,2,0,2,7
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,0,0,2,6
2,0,0,2,2,0,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
0,2,2,0,2,2,0,0,2,0
0,0,0,0,0,2,0,0,0,4
0,2,0,0,2,2,0,0,0,8
0,2,0,0,2,2,2,0,2,2
0,2,2,0,2,2,2,2,2,0
0,0,0,0,2,0,0,0,0,8
0,0,0,0,2,0,2,0,2,2
2,0,2,0,2,0,2,0,2,3
2,0,2,2,2,0,2,2,2,1
0,0,0,0,0,0,0,0,0,4
0,0,0,2,2,0,0,0,0,8
0,0,2,2,2,0,0,0,2,6
2,0,2,2,2,0,2,0,2,1
2,2,2,2,2,2,2,0,2,7
0,0,0,0,0,0,0,0,2,4
0,0,2,0,2,0,0,0,2,5
2,0,2,0,2,2,0,0,2,1
2,2,2,0,2,2,0,2,2,3
0,0,0,0,0,0,0,2,0,4
0,2,0,0,2,0,0,2,0,8
0,2,0,0,2,0,2,2,2,2
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,2,0,0,2,0,0,0,0,8
2,2,0,0,2,0,0,0,2,2
2,2,2,0,2,2,0,0,2,6
0,0,2,0,0,0,0,0,0,4
2,0,2,0,2,0,0,0,0,1
2,2,2,0,2,2,0,0,0,7
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,2,0,0,0,8
0,2,2,0,2,2,0,0,2,0
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,2,0,0,3
2,0,0,2,2,0,2,2,0,5
0,0,0,0,0,0,2,0,0,4
2,0,0,0,2,0,2,0,0,3
2,0,0,2,2,0,2,0,2,5
0,0,2,0,0,0,0,0,0,4
2,0,2,0,2,0,0,0,0,1
2,2,2,0,2,0,2,0,0,3
2,2,2,2,2,0,2,2,0,5
0,0,0,2,0,0,0,0,0,4
2,0,0,2,2,0,0,0,0,6
2,0,0,2,2,2,2,0,0,8
2,0,0,2,2,2,2,2,2,2
0,0,0,0,0,2,0,0,0,4
0,0,0,0,2,2,0,0,2,2
2,0,2,0,2,2,0,0,2,6
2,0,0,0,0,0,0,0,0,4
2,0,0,2,2,0,0,0,0,6
2,2,0,2,2,0,2,0,0,2
0,0,0,0,0,0,0,2,0,4
0,2,0,0,2,0,0,2,0,8
0,2,0,2,2,0,0,2,2,6
0,2,0,2,2,2,2,2,2,2
0,0,0,0,2,0,0,0,0,8
0,0,2,0,2,0,0,0,2,6
2,0,2,0,2,0,2,0,2,1
2,2,2,0,2,0,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
0,0,2,0,2,2,0,0,2,6
2,0,2,0,2,2,2,0,2,1
2,2,2,0,2,2,2,2,2,3
0,0,0,0,0,0,0,0,2,4
2,0,0,0,2,0,0,0,2,7
2,0,2,0,2,0,0,2,2,1
0,0,0,0,0,0,2,0,0,4
2,0,0,0,2,0,2,0,0,3
2,0,0,2,2,0,2,0,2,5
0,0,0,0,2,0,0,0,0,8
0,2,0,0,2,0,0,0,2,7
0,2,0,0,2,0,2,2,2,2
0,2,2,0,2,2,2,2,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
0,0,2,0,2,2,0,0,2,6
2,0,2,0,2,2,2,0,2,1
2,2,2,2,2,2,2,0,2,7
0,0,0,0,2,0,0,0,0,8
2,0,0,0,2,0,0,0,2,6
2,0,0,0,2,2,2,0,2,3
2,2,0,2,2,2,2,0,2,2
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,0,0,2,0,8
0,0,0,0,2,0,2,2,2,2
2,0,2,0,2,0,2,2,2,3
2,0,2,2,2,2,2,2,2,1
0,0,0,0,0,0,0,2,0,4
0,0,2,0,2,0,0,2,0,8
0,2,2,0,2,0,0,2,2,0
0,0,2,0,0,0,0,0,0,4
0,0,2,2,2,0,0,0,0,8
0,2,2,2,2,0,0,0,2,0
0,0,0,0,2,0,0,0,0,8
0,2,0,0,2,0,0,0,2,7
0,2,0,0,2,0,2,2,2,2
0,2,2,2,2,0,2,2,2,0
0,0,0,0,0,0,0,0,0,4
2,0,0,0,2,0,0,0,0,8
2,0,0,2,2,0,0,0,2,6
2,0,0,2,2,2,2,0,2,7
0,0,0,0,0,0,0,2,0,4
0,0,0,0,2,0,0,2,2,6
0,0,0,0,2,2,2,2,2,2
0,0,0,0,0,2,0,0,0,4
0,0,0,0,2,2,2,0,0,8
0,0,0,2,2,2,2,0,2,0
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,0,2,2,6
0,0,0,0,2,2,2,2,2,2
0,0,0,0,0,0,2,0,0,4
0,0,0,2,2,0,2,0,0,0
2,2,0,2,2,0,2,0,0,8
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,2,5
2,0,2,0,2,2,0,0,2,1
2,2,2,0,2,2,2,0,2,3
0,0,0,0,0,0,2,0,0,4
0,2,0,0,2,0,2,0,0,8
0,2,0,0,2,2,2,0,2,2
2,2,2,0,2,2,2,0,2,3
0,0,0,0,0,0,0,0,0,4
0,0,0,0,2,2,0,0,0,8
2,0,0,0,2,2,0,0,2,6
2,0,0,0,2,2,2,2,2,2
0,0,0,0,0,0,0,2,0,4
0,0,2,0,2,0,0,2,0,8
0,0,2,0,2,0,2,2,2,0
0,0,0,0,0,0,0,0,2,4
0,0,0,0,2,0,2,0,2,7
0,0,2,0,2,0,2,2,2,1
0,0,0,0,0,2,0,0,0,4
0,0,0,2,2,2,0,0,0,8
0,0,0,2,2,2,2,0,2,0
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,2,0,0,0
2,0,0,2,2,2,2,0,0,8
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,2,0,0,0,8
0,2,0,2,2,2,0,0,2,6
0,2,2,2,2,2,2,0,2,0
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,0,2,0,8
0,0,2,0,2,0,2,2,2,0
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,0,2,2,2,0,0,2,6
2,2,0,2,2,2,2,0,2,2
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,0,0,2,6
0,2,0,2,2,0,2,0,2,2
2,0,0,0,0,0,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,0,2,2,2,0,0,2,6
2,2,0,2,2,2,2,0,2,2
0,0,2,0,0,0,0,0,0,4
0,0,2,2,2,0,0,0,0,8
0,0,2,2,2,0,0,2,2,6
0,0,2,2,2,2,2,2,2,0
0,0,0,0,0,0,2,0,0,4
0,2,0,0,2,0,2,0,0,8
0,2,0,0,2,2,2,0,2,2
2,2,2,0,2,2,2,0,2,3
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
2,0,2,0,2,0,0,0,2,1
2,2,2,2,2,0,0,0,2,6
2,2,2,2,2,0,2,2,2,5
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,0,2,2,2,1
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,2,0,0,8
0,2,0,0,0,0,0,0,0,4
0,2,2,0,2,0,0,0,0,0
2,2,2,0,2,0,0,2,0,8
0,0,0,2,0,0,0,0,0,4
0,0,0,2,2,0,0,2,0,8
2,0,0,2,2,0,0,2,2,6
2,2,0,2,2,0,2,2,2,2
0,0,0,0,0,2,0,0,0,4
2,0,0,0,2,2,0,0,0,8
2,0,2,0,2,2,0,0,2,1
2,2,2,0,2,2,0,2,2,6
0,0,0,0,0,0,0,0,0,4
0,0,2,0,2,0,0,0,0,8
0,0,2,0,2,0,2,0,2,0
0,0,2,0,0,0,0,0,0,4
0,0,2,0,2,0,2,0,0,7
0,0,2,0,2,2,2,2,0,1
0,2,0,0,0,0,0,0,0,4
